cdscode,freq1516
1611276090146,72
1611276095376,68
1611276116222,78
1611436090187,52
1611436090195,47
1611436090211,44
1611436090252,52
1611436090286,50
1611436090302,40
1611436090310,30
1611436090328,54
1611436097729,42
1611436105316,12
1611506090351,85
1611506090369,58
1611506090393,80
1611506090401,41
1611506090419,19
1611506090435,88
1611506090468,56
1611506090484,61
1611506113005,62
1611920111815,37
1611926000889,22
1611926000905,28
1611926000913,119
1611926000921,28
1611926000947,53
1611926000962,43
1611926000988,39
1611926000996,14
1611926001044,38
1611926001051,46
1611926001093,73
1611926001101,29
1611926001127,19
1611926001135,70
1611926001176,85
1611926001192,76
1611926062160,53
1611926090583,70
1611926104566,39
1612006001234,37
1612006001259,72
1612006001283,51
1612006001291,44
1612006001317,49
1612006071906,52
1612006089338,77
1612006097661,58
1612006110332,40
1612006117543,52
1612346001440,20
1612346001457,29
1612346001473,35
1612346001499,94
1612346001507,13
1612420126763,1
1612426001572,114
1612426001606,61
1612426001622,62
1612426101604,70
1612426115505,83
1612426115554,47
1612426118525,100
1750930114579,129
1750930123935,153
1750930131615,77
1750936001374,50
1750936001390,101
1750936001424,25
1750936118038,119
1751016001366,110
1751016001416,116
1751016002315,89
1751016002323,97
1751016002349,97
1751016002356,110
1751016089361,100
1751016114318,115
1751016117600,112
2613336002794,11
4614086002943,15
4614086002950,18
4614996003198,44
6616146003511,97
6616146003537,6
6616220118729,8
7100740114470,57
7616480100461,89
7616480106583,46
7616480113761,20
7616486003578,23
7616486003594,32
7616486003602,85
7616486003610,58
7616486003628,23
7616486003636,52
7616486084941,42
7616486108989,46
7616486110514,55
7616486117501,45
7616550102376,104
7616550108019,66
7616550127464,68
7616556003644,80
7616556070981,77
7616556109730,59
7616556117410,100
7616556119754,114
7617136003727,112
7617136003743,83
7617136003750,69
7617136003792,85
7617546003958,46
7617546003982,74
7617546004048,50
7617546004154,102
7617546004162,71
7617546004170,40
7617546004311,73
7617546004337,81
7617546004345,64
7617546004410,46
7617966004600,8
7617966004659,19
7617966004667,34
7617966004691,70
7617966004733,24
7617966004741,187
7617966004758,81
7617966004774,113
7617966004782,76
7617966004808,70
7617966004824,60
7617966004832,8
7617966004840,35
7617966004857,55
7617966004865,47
7617966004873,67
7617966004881,37
7617966004899,35
7617966004907,41
7617966004915,31
7617966004931,62
7617966004956,12
7617966004964,85
7617966004972,20
7617966004980,53
7617966004998,76
7617966005003,53
7617966005011,68
7617966005037,33
7617966005045,44
7617966057210,158
7617966097141,5
7617966099717,25
7617966112015,68
7617966114094,73
7618040102566,179
7618040109173,185
7618040113589,180
7618040119032,115
7618046005060,52
7618046005086,78
7618046005094,55
7618046005102,66
7618046005128,83
7618046005136,82
7618046005151,105
7618046066591,114
7618046071039,79
7618046089130,59
7618046096036,82
7618046097158,99
7618046100952,94
7618046108161,103
7618046110449,126
7618046114326,151
7618046117485,193
7618120131714,44
7618126005169,77
7618126005177,60
7618126005185,51
7618126005193,43
7618126005243,47
8100820830059,1
8618206005375,15
8618206005391,20
8618206005425,5
8618206005433,17
8618206005441,13
8618206005458,23
8618206113013,27
9618380100024,136
9618380107227,36
9618386005466,48
9618386005474,44
9618386107361,52
9618386110456,89
9618466005482,68
9618796005508,19
9618876005516,107
9619296005615,132
9619526005649,91
9619526005656,36
9619526005664,60
9619606107437,118
9619780108258,46
9619786005706,54
9619786005714,34
9619786098693,36
9619786109441,48
9737836005490,38
9737836005623,55
10621096005839,17
10622400113142,100
10624140113043,49
10624140123463,29
10624146007108,27
10624146007116,21
10624146007124,32
10624146007132,14
10624146007140,51
10624146007157,36
10624146007165,45
10624146007173,28
10624146007181,25
10624146007215,46
10624146117865,43
10624146117873,44
10738096005995,85
10751270129163,74
10751276006969,102
11101160124909,12
11625546007439,19
11625966007454,25
11626386007504,34
11626466089262,15
11626536007546,3
12626790111708,8
12626796007678,18
12627036007694,13
12628286007884,53
12628936007959,31
12629016007967,44
12629016007975,2
12629016007983,4
12629016007991,19
12629506008072,56
12629766008098,42
12630246008155,20
12630326008171,69
12630406008197,2
12630406008221,7
12630406008239,7
12753746007843,53
12753821230135,3
12753826008049,14
12755156007751,50
12755156007777,40
12755156007793,45
12755156007827,70
12768026007868,57
12768026008148,46
15633210129171,49
15633216008858,28
15633216008866,41
15633216008874,38
15633216008882,31
15633216008890,47
15633216008924,82
15633216008932,39
15633216008940,68
15633216008965,28
15633216008973,30
15633216008981,82
15633216008999,60
15633216009013,41
15633216009047,36
15633216009062,47
15633216009070,36
15633216009088,88
15633216009096,33
15633216009104,50
15633216009120,28
15633216009146,17
15633216009161,59
15633216009187,54
15633216009195,32
15633216009203,45
15633216109052,86
15633216109060,23
15633216109078,56
15633216111900,74
15633216114284,23
15633216116719,97
15637926010078,94
15637926010102,60
15638266010201,30
15638266105415,23
15638266108898,52
16638756010284,101
16638836010292,40
16638836010300,25
16638836010318,65
16638836010326,19
16638916010367,117
16639170110981,39
16639176010391,49
16639176010409,21
16639176010417,43
16639176010425,57
16639176010433,50
16639176108815,56
16639176113609,61
16639176118798,39
16639336010466,41
16639586010482,37
16639666010508,23
16639900116699,54
16639906010557,55
16739326010565,23
16739326010573,33
16739326118566,51
17640146010607,34
17640146112759,21
17640220132571,13
17640226010615,60
17640226084990,33
17640226109706,35
17640306010649,147
17640486010656,18
17640556010672,38
17640556105456,18
17640556110761,46
17640636010680,45
19642126010862,27
19642126010904,59
19642126010912,64
19642126010920,50
19642126010938,47
19642126010946,59
19642126010953,76
19642126010961,74
19642126010979,41
19642126010987,62
19642126010995,38
19642126066716,77
19642126068274,87
19642126071369,67
19642126085609,54
19642126085617,87
19642126093447,70
19642126093454,83
19642616011134,100
19642616011159,92
19642616011167,47
19642616011175,88
19642616011183,70
19642616011191,53
19642796011217,27
19642796011233,49
19642796011241,77
19642796011266,15
19642796011274,29
19642796011290,26
19642796011332,28
19642796011340,72
19642796011357,22
19642876011373,56
19642876011381,64
19642876011407,57
19642876011415,51
19642876011423,66
19642876011431,72
19642876011449,61
19642876011464,36
19642876011480,45
19642876011498,55
19642876011506,73
19642876011514,65
19642876110043,40
19642956011530,56
19642956011563,33
19642956011571,47
19642956057483,43
19643030128306,2
19643036011605,73
19643036011613,33
19643036011621,23
19643036011639,72
19643036011647,73
19643036011654,69
19643036011696,58
19643036011704,63
19643036011712,62
19643036057517,45
19643116011746,53
19643116011753,59
19643116011761,49
19643116011779,43
19643946012157,32
19643946012165,78
19643946012181,8
19643946012199,9
19643946012207,33
19643946012215,19
19643946012223,15
19644366012470,21
19644366012512,36
19644366012520,2
19644366012546,2
19644366012553,1
19644366012561,68
19644446012660,42
19644446012678,118
19644446012686,66
19644446012694,78
19644446012702,87
19644516012736,46
19644516012751,198
19644516012785,76
19644516012793,16
19644516012801,90
19644516012835,116
19644516012868,86
19644516012876,92
19644516114235,231
19644696012918,31
19644696012934,28
19644696012942,68
19644696012959,42
19644856012975,35
19644856013007,71
19644856013031,38
19644856013049,104
19644856013072,85
19644856013080,71
19644856013098,87
19644856013106,64
19644856013114,97
19644856089148,75
19645016013148,2
19645016013155,44
19645016013171,49
19645016013189,44
19645016013205,51
19645016013221,22
19645016013247,68
19645016013254,47
19645016013262,31
19645016013296,64
19645276013304,49
19645276013312,36
19645276013338,79
19645276013353,61
19645276013379,56
19645276013387,76
19645276013403,54
19645276013411,37
19646426014583,34
19646426014591,38
19646426014609,35
19646426105969,53
19646426106272,45
19646426108542,31
19646830116129,29
19646836014799,80
19646836014807,62
19646836014815,25
19646836014823,51
19646836085658,69
19646836093025,35
19646836099030,70
19646836110563,97
19646916014831,58
19646916014856,60
19646916014898,76
19646916014906,67
19646916014914,80
19647330100743,68
19647330131466,32
19647336017016,78
19647336019079,90
19647740107912,41
19647740108381,65
19647746020234,64
19647746020242,44
19647746020259,32
19647746020267,43
19647746020275,40
19647746020283,39
19647746020291,49
19647746020309,58
19647746020317,55
19647746116685,73
19647906020424,71
19647906020457,62
19647906020465,46
19647906020473,55
19647906020499,57
19648086020507,52
19648086020515,109
19648086020523,78
19648086020531,126
19648086020549,108
19648086020556,50
19648086020564,69
19648086020580,121
19648086020598,73
19648086020614,46
19648086020622,70
19648086020630,67
19648086020648,62
19648086020655,84
19648086020663,106
19648086020671,82
19648086020689,57
19648166020697,70
19648166020713,51
19648166020739,60
19648166020747,30
19648166020762,69
19648166020770,97
19648166105407,35
19648320100636,71
19648320100644,36
19648320108027,63
19648326020796,39
19648326020804,47
19648326020812,50
19648326066773,35
19648326095442,71
19648326107171,73
19648326113047,73
19648570102269,8
19648570116558,15
19648570129973,29
19648576021141,38
19648576021158,80
19648576021190,131
19648576021208,66
19648576105621,128
19648576106793,97
19648576106900,29
19648576107635,59
19648576108609,110
19648576108625,136
19648576108633,72
19648576111538,144
19648576111546,102
19648576113906,94
19648576115273,122
19648576118749,135
19648576119143,79
19648656021240,9
19648656021273,44
19648656021299,55
19648656021307,25
19648656021315,37
19648656021323,51
19648656021349,72
19648656021356,32
19648656021372,51
19648656116172,80
19648730102681,64
19648730108779,55
19648736021380,68
19648736021414,54
19648736021430,38
19648736021448,40
19648736021455,62
19648736021463,56
19648736021471,77
19648736021489,66
19648736117444,40
19650296022768,88
19650296022776,142
19650296022784,85
19651020101543,81
19651020110098,20
19651020125690,70
19651026023568,13
19651026023576,10
19651026023584,58
19651026023592,72
19651026071690,1
19651026108245,67
19651026109664,38
19651026110837,1
19651026111520,54
19651106023626,24
19651106023634,37
19651106023667,40
19651106023675,69
19651106023683,47
19651106023691,13
19651106023709,72
19651106023717,41
19651106023733,41
19651516106561,83
19734376012256,155
19734376012264,66
19734376012306,32
19734376012348,75
19734376012389,93
19734376012397,70
19734376013478,60
19734376023741,53
19734376023758,60
19734376023774,31
19734376023782,83
19734376120877,175
19753336020325,35
19753336020358,98
19753336020390,57
19753336020408,80
19753336020416,65
19753416022008,86
19753416022024,84
19753416022032,73
19753416022099,95
19753416022107,80
19753416022115,25
19753416022149,71
19753416022156,71
19768696023808,86
19768696023816,99
20651856024087,27
20651856024111,22
21653186024160,50
21653186024194,51
21653186024244,60
21653346068308,122
21653670129148,69
21653676024376,105
21654176024491,51
21654176024509,29
21654176024517,51
21654176024525,44
21654176024558,49
21654176024574,61
21654176024582,66
21654176024590,20
21654336024673,93
21654586024756,101
21654586024764,46
21654586024772,78
21654586024780,34
21654586024814,56
21654586024830,76
21654586024863,42
21733616024954,17
21750020124578,63
21750026024277,53
21750026024681,60
21750026024731,53
22655320132258,1
22655326025035,38
22655326025050,23
22655326103477,22
23655736025134,6
23739166025308,52
24657486025506,61
24657486025522,64
24657486109649,57
24657636025589,73
24658700111294,60
24658706025829,45
24658706025837,40
24737266025803,25
24753176112940,94
24753660105817,52
24753666025407,42
24753666025415,48
25735856025845,37
25735936025894,23
26736686025910,19
26736686025928,2
26736686025936,8
26736686025951,12
26736926025969,33
27660356026116,99
27660356089387,119
27660356111637,100
27660920124602,51
27660920129239,34
27660926026181,66
27660926026199,50
27660926026207,57
27660926026223,72
27660926026249,46
27660926026256,22
27660926026280,43
27660926026314,67
27660926026355,36
27660926058721,49
27661420108068,52
27661426026520,92
27661426026538,98
27661426026546,87
27661426026553,28
27661426026561,163
27661426026579,186
27661426026587,93
27661426026595,67
27661426026603,133
27661426026611,168
27661426066963,62
27661426109177,127
27738256026397,98
27738256026405,74
27738256026413,55
27738256026447,73
28662416026744,35
28662586026751,9
28662660109140,98
28662666026769,35
28662666026777,50
28662666026785,58
28662666026827,74
28662666026835,37
28662666026850,59
28662666026868,22
28662666026876,60
28662666026892,43
28662666026900,54
28662666026918,33
28662666026926,13
28662666026934,75
28662666026942,50
28662666026967,19
28662666026975,33
28662666026983,72
28662666027007,14
28662906027049,124
30664230113712,49
30664236027270,107
30664236027320,67
30664236027338,75
30664236027353,56
30664236027379,54
30664236027411,48
30664236027429,83
30664236113393,75
30664236116123,52
30664986027924,66
30664986027973,67
30664986027999,54
30664986066922,86
30664986068605,56
30664986085278,69
30664986094635,97
30665060102582,76
30665066028005,70
30665066028013,78
30665066028021,40
30665066028039,37
30665066028054,36
30665066028062,60
30665066028088,57
30665066028112,64
30665066028120,54
30665066028138,34
30665066028146,84
30665066028153,39
30665066028161,49
30665066028179,48
30665066028195,35
30665066113617,36
30665306028831,108
30665306028864,64
30665306028872,90
30665306028880,56
30665306094643,104
30665306095111,102
30665306116065,119
30665556028906,88
30665556028922,99
30665636028989,134
30665636028997,60
30665636029029,119
30665976029219,43
30665976029227,28
30665976029268,35
30665976029300,39
30665976029326,60
30665976029334,234
30665976029359,129
30665976029375,29
30665976029433,35
30665976029458,34
30665976029490,36
30665976029516,76
30665976029524,41
30665976068399,45
30665976089460,26
30665976118236,48
30666470102897,71
30666470109678,41
30666476029995,42
30666476030001,44
30666476030027,31
30666476030035,118
30666476030050,55
30666476030076,62
30666476030084,31
30666476030092,42
30666476030100,35
30666476030936,18
30666476030951,46
30666476071146,76
30666476085633,41
30666476085641,37
30666476095160,36
30666476097000,63
30666476097018,112
30666476106009,92
30666476109102,33
30666476119556,1
30666700108373,74
30666700109066,85
30666700116582,41
30666700132852,21
30666706030209,68
30666706030217,140
30666706030225,48
30666706030233,88
30666706030241,55
30666706030266,75
30666706030274,61
30666706030282,93
30666706030308,83
30666706030316,125
30666706030324,119
30666706030332,86
30666706030357,56
30666706030365,75
30666706030399,211
30666706030407,120
30666706030431,98
30666706030449,69
30666706071195,52
30666706095152,116
30666706098552,138
30666706099816,120
30666706102875,52
30666706106165,51
30666706107692,105
30666706108484,116
30666706109904,69
30666706110183,100
30666706111298,53
30666706113377,91
30666706114631,108
30666706115836,89
30666706116917,130
30667460119925,52
30667466030720,62
30667466030738,53
30667466030753,54
30667466030761,58
30667466030787,60
30667466030795,61
30667466030811,59
30667466030829,77
30667466030837,29
30667466030852,52
30667466030860,70
30667466030886,48
31668376031116,8
31668526031157,42
31668866031199,53
31669446031298,10
31669446031322,69
31669446094502,114
31669446113062,71
31669510106443,84
31669510108514,7
31669510113068,80
31669516031363,9
31669516085252,10
31669516098610,39
31669516117493,81
33669856031603,15
33669856031611,73
33669856031629,32
33669856031637,26
33669930101006,6
33669930102749,52
33669930113936,43
33669930116947,70
33669933331089,31
33669936031660,54
33670330100974,123
33670330100982,82
33670330105791,78
33670330105809,125
33670330110643,153
33670330113647,89
33670330113654,169
33670330119321,115
33670330131607,87
33670336031736,65
33670336031751,68
33670336031785,123
33670336031793,102
33670336031801,66
33670336031819,61
33670336031827,96
33670336031835,119
33670336031843,63
33670336031850,76
33670336031868,29
33670336031876,60
